artist_name,artist_id
冯光华,1081399
浮克,2761
付飞社,28391507
FyBe,377197
法特,1041120
方雨晨,1039141
范星光,2829
F,1024321
苏天添,1050031
郭顶,2843
G.G(张思源),12050057
古巨基,2849
郭旭,1044203
光泽,12136042
高进,2863
GAI周延,1211046
鬼卞,1008034
光良,2842
跟风超人,13058582
官鸿,27889345
郭富城,2852
葛林,168010
Gill Chang,1177230
高安,2963
郭德纲,2922
关喆,2868
国风Dom.T,12399037
谷嘉诚,13973042
关楚耀,2861
关正杰,2853
郭峰,2848
GNS耀耀,1041024
宫阁,12023517
甘仕良,2870
GenNeo梁根荣,12213153
苟瀚中,5311
顾嘉辉,2850
高林生,2892
关大洲,13080288
根呷,2959
国蛋,2947
时光,947046
管平湖,2859
郭子睿,11974118
顾峰,2874
GC国丞,13228424
高枫,2856
龚一,2862
Yehudi Too,1081301
葛平,2981
哏德全,2867
郭少杰,3007
郭麒麟,12332258
郭子,2851
高明骏,2846
高茂桐,13056443
甘俊,13059433
光合唱片,1043146
GIGEL张津铭,13059434
谷柏杉,820439
高铭,1049033
歌浴森,2945
关德辉,2872
格茸农布,2962
过江龙,3020
高夫,2928
高心远,12165051
郭伟亮,2847
格杰白玛,2979
郭一恒,12289019
郭思达,12998047
光头李进,2885
高旗,12023557
顾稚蔚,1132850
关泽楠,2969
国哥,27695695
高晓攀,12475595
高晓松,2841
郭俊辰,11975240
GrymeMan,975574
郭浩男,2875
顾海滨,2878
郭阳,14101443
高正洋,3042
宫俊,12262021
古天乐,2844
嘎玛西周,905095
Groovemiki,1039864
广智,2871
高凌风,2857
高向鹏,2887
郭京飞,1049027
郭纯,1053246
小黑0818,187480
高华阳,12274269
Gatsby in a Daze,1038338
郭炳坚,2912
关栋天,3031
刮刮乐,2946
高赫,12154162
Gordon扬豆仔,908209
GBZ,861441
高火火,12931831
高信,3029
GZ,839567
恭硕良,2890
郭颂,2911
官云康,1137380
高韶青,2960
华晨宇,861777
胡彦斌,3066
河图,3249
胡歌,3064
后弦,3058
胡夏,3273
黄旭,12065096
回音哥,3348
Hanser,1049179
郝云,3071
黄新淳,13059437
黄渤,3255
黑龙,3118
韩沐伯,12773144
胡伟立,3081
何东东,13059435
霍尊,3415
黄凯芹,3073
洪尘,1006030
海鸣威,3086
韩磊,3072
黄品源,3079
黄明志,3256
黄立纲,1045031
黑羊,1011192
胡碧乔,1049349
前后动机直升机组合,1068009
黄雨篱,1081579
黄霑,3059
RA,12598950
黄子韬,1025202
黄艺明,3337
黄宗泽,3126
晃儿,3307
黄榕生,12488022
黄英华,3322
贺一航,3181
黄晓明,3094
黄义达,3063
黄安,3082
侯旭,3146
何炅,3090
海生,3311
黄贯中,3080
黄书豪,13056448
霍建华,3120
侯浩然,13057492
黄家强,3116
韩庚,3272
洪启,3069
何大河,1181165
黄超,1040132
韩雍杰,13056444
黄磊,3061
黄征,3093
胡鸿钧,3330
呼斯楞,3259
火风,3250
胡蒎,12598388
何山,789450
韩安旭,1177014
黄礼格,1019154
黄阅,3121
何流,839761
胡德夫,3056
浩瀚,3261
浩天,1182797
涵昱,1006027
黄大炜,3068
洪雨雷,12487019
黄国俊,3123
黄立行,3065
何润东,3112
陈斐,223221
何崇志,3378
胡兵,3162
和弦,1081256
贺西格,3096
何晟铭,3276
何训田,3075
胡一天,12796041
何星烁RapStar,1039086
Howie Lee,94064
何嘉庚,13059436
贺一航,3404
海馬WAVE$,12914019
何勇,3055
罗一四,1041087
黄圣池,14100082
黄景瑜,12164075
黄勇,3421
黄伟文,3078
胡波涛,3676
哈孜肯,3217
韩寒,3085
灰原穷,3317
Hook于浩,13056445
胡致邦,13058490
H.K.君(HEROAR),11880
洪楗华,3224
ilem,11975111
iMoon,1038374
impossibleChuck,11987075
Iceloki,1132544
InfiniteMusic,956418
iCsuo,1047333
illusory李虚无,29356237
ilham丁丁,1039978
imeatART,900332
itmusicstudio,12947494
INK,133386
ibinbao,1031042
IMAGINE,1039393
iimmune,1083022
Inspiration Crowd,1049076
Impractical Scraps,1031052
iiiis,3438
Ian Yu,28390292
Ilya Ai Wei,1050737
IANNE,1039395
IA,29148246
ianbird 吴冠亨,28085491
Imc王辰,12263528
Izumi koga,1161208
IL CANTO,13707529
ins白日说唱家,13738116
Infernal Chaos,13430213
irevan,1081840
Intangible Ism,3445
IMCUICUI,1044068
Inbellum,820494
"I,Defiance",1000135
INTI,233211
金志文,166014
简弘亦,5001
Jason Chen,3535
黄明昊 (Justin),13057497
蒋家驹（蒋蒋）,188694
姜玉阳,3459
金贵晟,827163
姜育恒,3456
J-Sleeper性感的拖鞋,789380
家家,190079
蒋志光,3453
姜贰拾,1071076
Jason王威登,28085561
蒋明,3558
江南诚,1047078
蒋大为,3452
JR Fog,3526
J. Sheon,187010
江涛,3464
姜鹏,3466
J-ONE,13059443
居来,1063007
伽里,13059438
几米,3450
姜京佐,13059442
靳松,3528
贾乃亮,1106073
靖佩瑶,13056451
金学峰,3498
井柏然,3539
金润吉,905426
金培达,3536
JK.Chen,1097081
JZlee,1098154
JK LEE,13226406
鞠起,3537
金6,12262268
精气神制作,187394
贾鹏芳,3454
坚持者,187203
贾盛强,27694332
景岗山,3499
江智民,3600
JOHN$,12914018
江潮,1015710
蒋山,3594
小简,1099005
精神领袖佛爷,12369108
纪粹希,1038398
纪晓斌,3613
解小东,5839
贾昱,12488044
金泽男,842019
蒋劲夫,1081155
金久哲,3563
简吟,792823
金复载,3562
靳东,1156032
JOE WANG,225978
JeamsKing,1124432
甲雍,3591
江得胜,3463
jackson,1047025
JA符龙飞,12451170
吉克曲布,1049680
JIANG.x,1060009
金城武,3451
贾巴阿叁,1038368
净土Pure Land,995003
金科,3519
贾鹏新,3534
君子,3572
九御kyuugo,1057168
金泽,3551
